CI,Africa/Abidjan,+00:00,+00:00
GH,Africa/Accra,+00:00,+00:00
ET,Africa/Addis_Ababa,+03:00,+03:00
DZ,Africa/Algiers,+01:00,+01:00
ER,Africa/Asmara,+03:00,+03:00
,Africa/Asmera,+03:00,+03:00
ML,Africa/Bamako,+00:00,+00:00
CF,Africa/Bangui,+01:00,+01:00
GM,Africa/Banjul,+00:00,+00:00
GW,Africa/Bissau,+00:00,+00:00
MW,Africa/Blantyre,+02:00,+02:00
CG,Africa/Brazzaville,+01:00,+01:00
BI,Africa/Bujumbura,+02:00,+02:00
EG,Africa/Cairo,+02:00,+02:00
MA,Africa/Casablanca,+00:00,+01:00
ES,Africa/Ceuta,+01:00,+02:00
GN,Africa/Conakry,+00:00,+00:00
SN,Africa/Dakar,+00:00,+00:00
TZ,Africa/Dar_es_Salaam,+03:00,+03:00
DJ,Africa/Djibouti,+03:00,+03:00
CM,Africa/Douala,+01:00,+01:00
EH,Africa/El_Aaiun,+00:00,+01:00
SL,Africa/Freetown,+00:00,+00:00
BW,Africa/Gaborone,+02:00,+02:00
ZW,Africa/Harare,+02:00,+02:00
ZA,Africa/Johannesburg,+02:00,+02:00
SS,Africa/Juba,+03:00,+03:00
UG,Africa/Kampala,+03:00,+03:00
SD,Africa/Khartoum,+03:00,+03:00
RW,Africa/Kigali,+02:00,+02:00
CD,Africa/Kinshasa,+01:00,+01:00
NG,Africa/Lagos,+01:00,+01:00
GA,Africa/Libreville,+01:00,+01:00
TG,Africa/Lome,+00:00,+00:00
AO,Africa/Luanda,+01:00,+01:00
CD,Africa/Lubumbashi,+02:00,+02:00
ZM,Africa/Lusaka,+02:00,+02:00
GQ,Africa/Malabo,+01:00,+01:00
MZ,Africa/Maputo,+02:00,+02:00
LS,Africa/Maseru,+02:00,+02:00
SZ,Africa/Mbabane,+02:00,+02:00
SO,Africa/Mogadishu,+03:00,+03:00
LR,Africa/Monrovia,+00:00,+00:00
KE,Africa/Nairobi,+03:00,+03:00
TD,Africa/Ndjamena,+01:00,+01:00
NE,Africa/Niamey,+01:00,+01:00
MR,Africa/Nouakchott,+00:00,+00:00
BF,Africa/Ouagadougou,+00:00,+00:00
BJ,Africa/Porto-Novo,+01:00,+01:00
ST,Africa/Sao_Tome,+00:00,+00:00
,Africa/Timbuktu,+00:00,+00:00
LY,Africa/Tripoli,+02:00,+02:00
TN,Africa/Tunis,+01:00,+01:00
NA,Africa/Windhoek,+01:00,+02:00
US,America/Adak,-10:00,-09:00
US,America/Anchorage,-09:00,-08:00
AI,America/Anguilla,-04:00,-04:00
AG,America/Antigua,-04:00,-04:00
BR,America/Araguaina,-03:00,-03:00
AR,America/Argentina/Buenos_Aires,-03:00,-03:00
AR,America/Argentina/Catamarca,-03:00,-03:00
,America/Argentina/ComodRivadavia,-03:00,-03:00
AR,America/Argentina/Cordoba,-03:00,-03:00
AR,America/Argentina/Jujuy,-03:00,-03:00
AR,America/Argentina/La_Rioja,-03:00,-03:00
AR,America/Argentina/Mendoza,-03:00,-03:00
AR,America/Argentina/Rio_Gallegos,-03:00,-03:00
AR,America/Argentina/Salta,-03:00,-03:00
AR,America/Argentina/San_Juan,-03:00,-03:00
AR,America/Argentina/San_Luis,-03:00,-03:00
AR,America/Argentina/Tucuman,-03:00,-03:00
AR,America/Argentina/Ushuaia,-03:00,-03:00
AW,America/Aruba,-04:00,-04:00
PY,America/Asuncion,-04:00,-03:00
CA,America/Atikokan,-05:00,-05:00
,America/Atka,-10:00,-09:00
BR,America/Bahia,-03:00,-03:00
MX,America/Bahia_Banderas,-06:00,-05:00
BB,America/Barbados,-04:00,-04:00
BR,America/Belem,-03:00,-03:00
BZ,America/Belize,-06:00,-06:00
CA,America/Blanc-Sablon,-04:00,-04:00
BR,America/Boa_Vista,-04:00,-04:00
CO,America/Bogota,-05:00,-05:00
US,America/Boise,-07:00,-06:00
,America/Buenos_Aires,-03:00,-03:00
CA,America/Cambridge_Bay,-07:00,-06:00
BR,America/Campo_Grande,-04:00,-03:00
MX,America/Cancun,-05:00,-05:00
VE,America/Caracas,-04:00,-04:00
,America/Catamarca,-03:00,-03:00
GF,America/Cayenne,-03:00,-03:00
KY,America/Cayman,-05:00,-05:00
US,America/Chicago,-06:00,-05:00
MX,America/Chihuahua,-07:00,-06:00
,America/Coral_Harbour,-05:00,-05:00
,America/Cordoba,-03:00,-03:00
CR,America/Costa_Rica,-06:00,-06:00
CA,America/Creston,-07:00,-07:00
BR,America/Cuiaba,-04:00,-03:00
CW,America/Curacao,-04:00,-04:00
GL,America/Danmarkshavn,+00:00,+00:00
CA,America/Dawson,-08:00,-07:00
CA,America/Dawson_Creek,-07:00,-07:00
US,America/Denver,-07:00,-06:00
US,America/Detroit,-05:00,-04:00
DM,America/Dominica,-04:00,-04:00
CA,America/Edmonton,-07:00,-06:00
BR,America/Eirunepe,-05:00,-05:00
SV,America/El_Salvador,-06:00,-06:00
,America/Ensenada,-08:00,-07:00
CA,America/Fort_Nelson,-07:00,-07:00
,America/Fort_Wayne,-05:00,-04:00
BR,America/Fortaleza,-03:00,-03:00
CA,America/Glace_Bay,-04:00,-03:00
GL,America/Godthab,-03:00,-02:00
CA,America/Goose_Bay,-04:00,-03:00
TC,America/Grand_Turk,-04:00,-04:00
GD,America/Grenada,-04:00,-04:00
GP,America/Guadeloupe,-04:00,-04:00
GT,America/Guatemala,-06:00,-06:00
EC,America/Guayaquil,-05:00,-05:00
GY,America/Guyana,-04:00,-04:00
CA,America/Halifax,-04:00,-03:00
CU,America/Havana,-05:00,-04:00
MX,America/Hermosillo,-07:00,-07:00
US,America/Indiana/Indianapolis,-05:00,-04:00
US,America/Indiana/Knox,-06:00,-05:00
US,America/Indiana/Marengo,-05:00,-04:00
US,America/Indiana/Petersburg,-05:00,-04:00
US,America/Indiana/Tell_City,-06:00,-05:00
US,America/Indiana/Vevay,-05:00,-04:00
US,America/Indiana/Vincennes,-05:00,-04:00
US,America/Indiana/Winamac,-05:00,-04:00
,America/Indianapolis,-05:00,-04:00
CA,America/Inuvik,-07:00,-06:00
CA,America/Iqaluit,-05:00,-04:00
JM,America/Jamaica,-05:00,-05:00
,America/Jujuy,-03:00,-03:00
US,America/Juneau,-09:00,-08:00
US,America/Kentucky/Louisville,-05:00,-04:00
US,America/Kentucky/Monticello,-05:00,-04:00
,America/Knox_IN,-06:00,-05:00
BQ,America/Kralendijk,-04:00,-04:00
BO,America/La_Paz,-04:00,-04:00
PE,America/Lima,-05:00,-05:00
US,America/Los_Angeles,-08:00,-07:00
,America/Louisville,-05:00,-04:00
SX,America/Lower_Princes,-04:00,-04:00
BR,America/Maceio,-03:00,-03:00
NI,America/Managua,-06:00,-06:00
BR,America/Manaus,-04:00,-04:00
MF,America/Marigot,-04:00,-04:00
MQ,America/Martinique,-04:00,-04:00
MX,America/Matamoros,-06:00,-05:00
MX,America/Mazatlan,-07:00,-06:00
,America/Mendoza,-03:00,-03:00
US,America/Menominee,-06:00,-05:00
MX,America/Merida,-06:00,-05:00
US,America/Metlakatla,-09:00,-08:00
MX,America/Mexico_City,-06:00,-05:00
PM,America/Miquelon,-03:00,-02:00
CA,America/Moncton,-04:00,-03:00
MX,America/Monterrey,-06:00,-05:00
UY,America/Montevideo,-03:00,-03:00
,America/Montreal,-05:00,-04:00
MS,America/Montserrat,-04:00,-04:00
BS,America/Nassau,-05:00,-04:00
US,America/New_York,-05:00,-04:00
CA,America/Nipigon,-05:00,-04:00
US,America/Nome,-09:00,-08:00
BR,America/Noronha,-02:00,-02:00
US,America/North_Dakota/Beulah,-06:00,-05:00
US,America/North_Dakota/Center,-06:00,-05:00
US,America/North_Dakota/New_Salem,-06:00,-05:00
MX,America/Ojinaga,-07:00,-06:00
PA,America/Panama,-05:00,-05:00
CA,America/Pangnirtung,-05:00,-04:00
SR,America/Paramaribo,-03:00,-03:00
US,America/Phoenix,-07:00,-07:00
TT,America/Port_of_Spain,-04:00,-04:00
HT,America/Port-au-Prince,-05:00,-05:00
,America/Porto_Acre,-05:00,-05:00
BR,America/Porto_Velho,-04:00,-04:00
PR,America/Puerto_Rico,-04:00,-04:00
CA,America/Rainy_River,-06:00,-05:00
CA,America/Rankin_Inlet,-06:00,-05:00
BR,America/Recife,-03:00,-03:00
CA,America/Regina,-06:00,-06:00
CA,America/Resolute,-06:00,-05:00
BR,America/Rio_Branco,-05:00,-05:00
,America/Rosario,-03:00,-03:00
,America/Santa_Isabel,-08:00,-07:00
BR,America/Santarem,-03:00,-03:00
CL,America/Santiago,-04:00,-03:00
DO,America/Santo_Domingo,-04:00,-04:00
BR,America/Sao_Paulo,-03:00,-02:00
