Date,COMID,Flow_M3PerDay
2019-04-28,8831826,11670.7870833333
2019-04-29,8831826,11866.9013791667
2019-04-30,8831826,12256.6432208333
2019-05-01,8831826,12450.3443541667
2019-05-02,8831826,12248.5502625
2019-05-03,8831826,11898.6404625
2019-05-04,8831826,11681.74935
2019-05-05,8831826,10839.493775
2019-05-06,8831826,10086.65795
2019-05-07,8831826,10480.41685
2019-05-08,8831826,10881.9449833333
2019-05-09,8831826,8803.468925
2019-05-10,8831826,6245.36042083333
2019-05-11,8831826,4043.65077916667
2019-05-12,8831826,3010.22495833333
2019-05-13,8831826,2637.31645
2019-05-14,8831826,2552.3698875
2019-05-15,8831826,2605.15064583333
2019-05-16,8831826,2743.5548375
2019-05-17,8831826,2856.56187916667
2019-05-18,8831826,2958.60664583333
2019-05-19,8831826,2800.646925
2019-05-20,8831826,2337.4358
2019-05-21,8831826,2007.361075
2019-05-22,8831826,1808.3186125
2019-05-23,8831826,1648.607875
2019-05-24,8831826,1502.96416666667
2019-05-25,8831826,1396.50505833333
2019-05-26,8831826,1309.3513375
2019-05-27,8831826,1240.98795833333
2019-05-28,8831826,1160.07315
2019-05-29,8831826,1100.28830416667
2019-05-30,8831826,1061.91299166667
2019-05-31,8831826,1024.15569583333
2019-06-01,8831826,1010.98626666667
2019-06-02,8831826,1019.25579583333
2019-06-03,8831826,993.814491666667
2019-06-04,8831826,944.0207625
2019-06-05,8831826,894.153470833333
2019-06-06,8831826,907.264058333334
2019-04-28,8831818,11667.8000458333
2019-04-29,8831818,11872.1691541667
2019-04-30,8831818,12261.4695708333
2019-05-01,8831818,12448.0047541667
2019-05-02,8831818,12236.7492833333
2019-05-03,8831818,11889.6793625
2019-05-04,8831818,11673.1855375
2019-05-05,8831818,10803.5022166667
2019-05-06,8831818,10082.5967708333
2019-05-07,8831818,10504.7545833333
2019-05-08,8831818,10850.485475
2019-05-09,8831818,8739.8289125
2019-05-10,8831818,6168.52150833333
2019-05-11,8831818,3993.25374583333
2019-05-12,8831818,2986.66710416667
2019-05-13,8831818,2630.12107916667
2019-05-14,8831818,2548.85312916667
2019-05-15,8831818,2608.21125
2019-05-16,8831818,2745.29115416667
2019-05-17,8831818,2858.65133333333
2019-05-18,8831818,2957.14990833333
2019-05-19,8831818,2786.8006375
2019-05-20,8831818,2319.35173333333
2019-05-21,8831818,1996.85495416667
2019-05-22,8831818,1800.59352916667
2019-05-23,8831818,1640.30890833333
2019-05-24,8831818,1496.66638333333
2019-05-25,8831818,1391.13429166667
2019-05-26,8831818,1304.95170833333
2019-05-27,8831818,1236.67661666667
2019-05-28,8831818,1155.59995833333
2019-05-29,8831818,1097.19828333333
2019-05-30,8831818,1059.55869166667
2019-05-31,8831818,1020.78609583333
2019-06-01,8831818,1009.5442375
2019-06-02,8831818,1018.46121666667
2019-06-03,8831818,990.886304166667
2019-06-04,8831818,940.974879166667
2019-06-05,8831818,891.092866666667
2019-06-06,8831818,908.764920833333
2019-04-28,8831820,11670.4045041667
2019-04-29,8831820,11870.1974166667
2019-04-30,8831820,12259.600825
2019-05-01,8831820,12450.0206458333
2019-05-02,8831820,12243.871075
2019-05-03,8831820,11895.0795625
2019-05-04,8831820,11678.39445
2019-05-05,8831820,10823.6315875
2019-05-06,8831820,10085.4366625
2019-05-07,8831820,10491.6734125
2019-05-08,8831820,10868.2752583333
2019-05-09,8831820,8775.114175
2019-05-10,8831820,6211.13457916667
2019-05-11,8831820,4021.24065833333
2019-05-12,8831820,2999.95427916667
2019-05-13,8831820,2634.38827083333
2019-05-14,8831820,2551.133875
2019-05-15,8831820,2606.88695416667
2019-05-16,8831820,2744.717275
2019-05-17,8831820,2857.82732083333
2019-05-18,8831820,2958.3123625
2019-05-19,8831820,2794.84944166667
2019-05-20,8831820,2329.66656666667
2019-05-21,8831820,2002.976175
2019-05-22,8831820,1805.21385
2019-05-23,8831820,1645.22355
2019-05-24,8831820,1500.40385416667
2019-05-25,8831820,1394.29789583333
2019-05-26,8831820,1307.54145
2019-05-27,8831820,1239.07508333333
2019-05-28,8831820,1158.07199166667
2019-05-29,8831820,1098.91986666667
2019-05-30,8831820,1060.88299583333
2019-05-31,8831820,1022.72840833333
2019-06-01,8831820,1010.48597083333
2019-06-02,8831820,1018.9173625
2019-06-03,8831820,992.519633333333
2019-06-04,8831820,942.740604166667
2019-06-05,8831820,892.843879166667
2019-06-06,8831820,908.088058333333
2019-04-28,8831810,11573.3626583333
2019-04-29,8831810,11849.8326041667
2019-04-30,8831810,12239.4567416667
2019-05-01,8831810,12376.7573375
2019-05-02,8831810,12098.5363791667
2019-05-03,8831810,11779.2326375
2019-05-04,8831810,11566.5204416667
2019-05-05,8831810,10485.2284791667
2019-05-06,8831810,9987.64435833333
2019-05-07,8831810,10661.3605541667
2019-05-08,8831810,10556.9761833333
2019-05-09,8831810,8204.19320833333
2019-05-10,8831810,5522.98352916667
2019-05-11,8831810,3570.19837916667
2019-05-12,8831810,2777.3686625
2019-05-13,8831810,2550.030275
2019-05-14,8831810,2501.14885833333
2019-05-15,8831810,2615.7744875
2019-05-16,8831810,2742.48069583333
2019-05-17,8831810,2859.63720416667
2019-05-18,8831810,2926.8087
2019-05-19,8831810,2655.85666666667
2019-05-20,8831810,2159.02298333333
2019-05-21,8831810,1896.95849583333
2019-05-22,8831810,1724.47562916667
2019-05-23,8831810,1561.07157083333
2019-05-24,8831810,1434.74794166667
2019-05-25,8831810,1337.44122916667
2019-05-26,8831810,1259.38103333333
2019-05-27,8831810,1192.38610833333
2019-05-28,8831810,1110.50015
2019-05-29,8831810,1063.8994625
2019-05-30,8831810,1032.60180416667
2019-05-31,8831810,989.253016666667
2019-06-01,8831810,996.257091666667
2019-06-02,8831810,991.73975
2019-06-03,8831810,956.4692
2019-06-04,8831810,909.176925
2019-06-05,8831810,861.590375
2019-06-06,8831810,889.7097
2019-04-28,8831806,11578.2478625
2019-04-29,8831806,11850.8479041667
2019-04-30,8831806,12241.19305
2019-05-01,8831806,12380.3182458333
2019-05-02,8831806,12104.5545875
2019-05-03,8831806,11783.911825
2019-05-04,8831806,11572.2296541667
2019-05-05,8831806,10499.5897958333
2019-05-06,8831806,9994.0745875
2019-05-07,8831806,10654.7978958333
2019-05-08,8831806,10574.8689708333
2019-05-09,8831806,8228.06005
2019-05-10,8831806,5550.57314166667
